sku,period,model,actual,pred,abs_err,pct_err,signed_err
CPG-030-T007A,2025-10,B1_LastMonth,0.0,12000.0,12000.0,,12000.0
CPG-030-T007A,2025-10,B2_MA3,0.0,10000.0,10000.0,,10000.0
CPG-030-T007A,2025-10,B4_MA6,0.0,9000.0,9000.0,,9000.0
CPG-030-T007A,2025-10,B3_SeasonalNaive,0.0,7555.555555555556,7555.555555555556,,7555.555555555556
CPG-030-T007A,2025-10,M1_AutoETS,0.0,7537.39155501819,7537.39155501819,,7537.39155501819
CPG-030-T007A,2025-10,M2_Croston,0.0,10176.340036330272,10176.340036330272,,10176.340036330272
CPG-030-T007A,2025-10,M3_LightGBM,0.0,10000.0,10000.0,,10000.0
CPG-030-T007A,2025-11,B1_LastMonth,6000.0,0.0,6000.0,100.0,-6000.0
CPG-030-T007A,2025-11,B2_MA3,6000.0,10000.0,4000.0,66.66666666666666,4000.0
CPG-030-T007A,2025-11,B4_MA6,6000.0,8333.333333333334,2333.333333333334,38.8888888888889,2333.333333333334
CPG-030-T007A,2025-11,B3_SeasonalNaive,6000.0,6800.0,800.0,13.333333333333334,800.0
