sku,period,model,actual,pred,abs_err,signed_err
SPACER BOLT CF-A-090-S1-1360-G,2025-11,M5_GlobalLGBM_v2,0.0,146.93526607096675,146.93526607096675,146.93526607096675
SFC-060DA2-25B-35B,2025-11,M5_GlobalLGBM_v2,264.0,87.57858393416112,176.42141606583888,-176.42141606583888
SFC-050SA2-12B-16B,2025-11,M5_GlobalLGBM_v2,150.0,157.15223678539323,7.152236785393228,7.152236785393228
SFC-040DA2-17B-19B,2025-11,M5_GlobalLGBM_v2,14.0,158.49234455341934,144.49234455341934,144.49234455341934
ALS-040ARN-15BHA-16BHA,2025-11,M5_GlobalLGBM_v2,82.0,167.87877165722188,85.87877165722188,85.87877165722188
SFC-060DA2-24B-25B,2025-11,M5_GlobalLGBM_v2,4.0,249.18867043189834,245.18867043189834,245.18867043189834
SFC-040DA2-12B-19B,2025-11,M5_GlobalLGBM_v2,108.0,164.56814423920005,56.56814423920005,56.56814423920005
ALS-055ARN-18BHA-22BHA,2025-11,M5_GlobalLGBM_v2,161.0,151.05812419366504,9.941875806334963,-9.941875806334963
SFC-050SA2-17B-19B,2025-11,M5_GlobalLGBM_v2,84.0,136.80248523986126,52.802485239861255,52.802485239861255
ALS-030ARN-8BHA-14BHA,2025-11,M5_GlobalLGBM_v2,46.0,162.97865756624427,116.97865756624427,116.97865756624427
ALS-030ABN-10BHA-14BHA,2025-11,M5_GlobalLGBM_v2,300.0,111.55984692874551,188.44015307125449,-188.44015307125449
ALS-055ARN-20BHA-22BHA,2025-11,M5_GlobalLGBM_v2,20.0,111.35454410902197,91.35454410902197,91.35454410902197
CPG-030-T007A,2025-12,M5_GlobalLGBM_v2,12040.0,5324.965197679676,6715.034802320324,-6715.034802320324
CPG-030-T007B,2025-12,M5_GlobalLGBM_v2,6020.0,5324.965197679676,695.0348023203242,-695.0348023203242
SFC-030SA2-10B-14B,2025-12,M5_GlobalLGBM_v2,1713.0,102.58100808710641,1610.4189919128935,-1610.4189919128935
ALS-030ARN-10BHA-14BHA,2025-12,M5_GlobalLGBM_v2,326.0,1925.1284439317174,1599.1284439317174,1599.1284439317174
ANTI-NOISE SPRING:XS-08-10-A-20,2025-12,M5_GlobalLGBM_v2,0.0,1890.8799026719337,1890.8799026719337,1890.8799026719337
BXR-09-20-A-22,2025-12,M5_GlobalLGBM_v2,0.0,170.67767339180566,170.67767339180566,170.67767339180566
CPG-030-T001A,2025-12,M5_GlobalLGBM_v2,6000.0,96.72422329510417,5903.275776704896,-5903.275776704896
SFC-020SA2-7B-8B,2025-12,M5_GlobalLGBM_v2,2014.0,613.5271584456067,1400.4728415543932,-1400.4728415543932
BXH-08-10-A-60,2025-12,M5_GlobalLGBM_v2,990.0,701.3509657595366,288.6490342404634,-288.6490342404634
BXH-08-10-A-78G,2025-12,M5_GlobalLGBM_v2,600.0,1056.4623648928175,456.4623648928175,456.4623648928175
E-CF-H-050,2025-12,M5_GlobalLGBM_v2,0.0,1075.8342666258693,1075.8342666258693,1075.8342666258693
BXR-025-10LE-032,2025-12,M5_GlobalLGBM_v2,60.0,809.0144432292259,749.0144432292259,749.0144432292259
BXR-09-20-A-32,2025-12,M5_GlobalLGBM_v2,1080.0,97.60088919672388,982.3991108032761,-982.3991108032761
E-CF-H-110,2025-12,M5_GlobalLGBM_v2,544.0,440.146941222566,103.853058777434,-103.853058777434
ALS-065ARN-28BHA-35BHA,2025-12,M5_GlobalLGBM_v2,763.0,597.611493924988,165.38850607501195,-165.38850607501195
BXR-13-20-A-32,2025-12,M5_GlobalLGBM_v2,1080.0,97.60088919672388,982.3991108032761,-982.3991108032761
